Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
El Salvador,03-07-2020 23:35,13.7942,-88.8965,7267,202,4268,2797,112.0378477,,,2.779689005,222,SLV
Equatorial Guinea,03-07-2020 23:35,1.6508,10.2679,3071,51,842,2178,218.8904372,,,1.660696841,226,GNQ
Eritrea,03-07-2020 23:35,15.1794,39.7823,215,0,56,159,6.062439746,,,0,232,ERI
Estonia,03-07-2020 23:35,58.5953,25.0136,1991,69,1859,63,150.0898202,,,3.465595178,233,EST
Eswatini,03-07-2020 23:35,-26.5225,31.4659,909,13,515,381,78.35099176,,,1.430143014,748,SWZ
Ethiopia,03-07-2020 23:35,9.145,40.4897,5846,103,2430,3313,5.085088554,,,1.761888471,231,ETH
Fiji,03-07-2020 23:35,-17.7134,178.065,18,0,18,0,2.007933569,,,0,242,FJI
Gabon,03-07-2020 23:35,-0.8037,11.6094,5620,44,2555,3021,252.5016534,,,0.782918149,266,GAB
Gambia,03-07-2020 23:35,13.4432,-15.3101,55,2,27,26,2.27586458,,,3.636363636,270,GMB
Georgia,03-07-2020 23:35,42.3154,43.3569,943,15,821,107,23.63897297,,,1.590668081,268,GEO
Ghana,03-07-2020 23:35,7.9465,-1.0232,18134,117,13550,4467,58.35945064,,,0.645196868,288,GHA
Greece,03-07-2020 23:35,39.0742,21.8243,3486,192,1374,1920,33.44508559,,,5.507745267,300,GRC
Grenada,03-07-2020 23:35,12.1165,-61.679,23,0,23,0,20.44099219,,,0,308,GRD
Guatemala,03-07-2020 23:35,15.7835,-90.2308,21293,880,3315,17098,118.8519459,,,4.132813601,320,GTM
Guinea,03-07-2020 23:35,9.9456,-9.6966,5521,33,4446,1042,42.03980387,,,0.597717805,324,GIN
Guinea-Bissau,03-07-2020 23:35,11.8037,-15.1804,1765,25,676,1064,89.68505049,,,1.416430595,624,GNB
Guyana,03-07-2020 23:35,4.860416,-58.93018,256,14,117,125,32.54682738,,,5.46875,328,GUY
Haiti,03-07-2020 23:35,18.9712,-72.2852,6101,110,1141,4850,53.50565528,,,1.802983118,332,HTI
Holy See,03-07-2020 23:35,41.9029,12.4534,12,0,12,0,1483.312732,,,0,336,VAT
Honduras,03-07-2020 23:35,15.2,-86.2419,21120,591,2190,18339,213.2340826,,,2.798295455,340,HND
Hungary,03-07-2020 23:35,47.1625,19.5033,4172,588,2752,832,43.18684106,,,14.09395973,348,HUN
Indonesia,03-07-2020 23:35,-0.7893,113.9213,60695,3036,27568,30091,22.19003967,,,5.002059478,360,IDN
Iran,03-07-2020 23:35,32.427908,53.688046,235429,11260,196446,27723,280.2961339,,,4.782758284,364,IRN
Iraq,03-07-2020 23:35,33.223191,43.679291,56020,2262,29600,24158,139.2752709,,,4.037843627,368,IRQ
Israel,03-07-2020 23:35,31.046051,34.851612,28055,326,17669,10060,324.1276311,,,1.162003208,376,ISR
Jamaica,03-07-2020 23:35,18.1096,-77.2975,715,10,560,145,24.14593465,,,1.398601399,388,JAM
Jordan,03-07-2020 23:35,31.24,36.51,1147,10,897,240,11.24163738,,,0.871839582,400,JOR
Kazakhstan,03-07-2020 23:35,48.0196,66.9237,44075,188,14777,29110,234.7323202,,,0.426545661,398,KAZ
Kenya,03-07-2020 23:35,-0.0236,37.9062,7188,154,2148,4886,13.36772591,,,2.142459655,404,KEN
"Korea, South",03-07-2020 23:35,35.907757,127.766922,12967,282,11759,926,25.29199656,,,2.174751292,410,KOR
Kosovo,03-07-2020 23:35,42.602636,20.902977,3064,55,1707,1302,169.2475444,,,1.795039164,383,XKS
Kuwait,03-07-2020 23:35,29.31166,47.481766,48672,360,39276,9036,1139.709214,,,0.73964497,414,KWT
Kyrgyzstan,03-07-2020 23:35,41.20438,74.766098,6767,76,2655,4036,103.7216722,,,1.123097384,417,KGZ
Laos,03-07-2020 23:35,19.85627,102.495496,19,0,19,0,0.261148426,,,0,418,LAO
Latvia,03-07-2020 23:35,56.8796,24.6032,1122,30,997,95,59.48461512,,,2.673796791,428,LVA
Lebanon,03-07-2020 23:35,33.8547,35.8623,1830,35,1292,503,26.81145045,,,1.912568306,422,LBN
